-0.89,0.20,-0.14,0.66,0.16,0.11
-1.21,0.63,0.14,0.82,0.11,0.12
0.60,4.23,2.92,0.24,0.26,-0.37
0.75,4.35,2.95,0.22,0.27,-0.34
0.84,4.23,3.00,0.20,0.29,-0.30
0.78,4.16,3.02,0.20,0.31,-0.25
-0.07,5.53,4.02,0.67,0.28,-0.53
-0.15,5.63,3.94,0.62,0.35,-0.58
-0.21,5.70,3.84,0.57,0.39,-0.62
-0.27,5.78,3.75,0.51,0.41,-0.64
2.11,4.08,1.78,0.84,0.56,-1.19
2.47,4.29,1.87,0.87,0.63,-1.19
2.69,4.40,1.89,0.89,0.70,-1.16
2.65,4.58,1.90,0.91,0.76,-1.11
0.61,4.30,2.67,0.49,-0.11,-0.59
0.26,3.74,2.56,0.45,-0.15,-0.53
-0.00,2.59,1.09,0.40,-0.16,-0.50
-1.77,-1.03,-0.88,0.52,0.16,-0.85
0.60,3.46,1.83,1.24,-0.23,-0.58
0.77,3.63,2.05,1.26,-0.20,-0.61
1.00,3.89,2.25,1.28,-0.16,-0.63
0.57,4.55,2.93,0.71,-0.12,-0.38
0.62,4.57,2.92,0.68,-0.13,-0.36
